goos: darwin
goarch: amd64
pkg: github.com/grafana/tempo/tempodb/encoding/vparquet4
cpu: Intel(R) Core(TM) i9-9980HK CPU @ 2.40GHz
BenchmarkBackendBlockQueryRange/{}_|_histogram_over_time(duration)/5                                                  	       3	 360693069 ns/op	         6.663 MB_IO/op	    623220 spans/op	   1727841 spans/s
BenchmarkBackendBlockQueryRange/{}_|_avg_over_time(duration)_by_(span.http.status_code)/5                             	       2	 530906382 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1173880 spans/s
BenchmarkBackendBlockQueryRange/{}_|_avg_over_time(duration)_by_(span.http.status_code)/5                             	       2	 512866706 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1215170 spans/s
BenchmarkBackendBlockQueryRange/{}_|_avg_over_time(duration)_by_(span.http.status_code)/5                             	       2	 528158462 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1179987 spans/s
BenchmarkBackendBlockQueryRange/{}_|_avg_over_time(duration)_by_(span.http.status_code)/5                             	       2	 519237506 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1200261 spans/s
BenchmarkBackendBlockQueryRange/{}_|_avg_over_time(duration)_by_(span.http.status_code)/5                             	       2	 528510180 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1179202 spans/s
BenchmarkBackendBlockQueryRange/{}_|_avg_over_time(duration)_by_(span.http.status_code)/5                             	       2	 530697511 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1174342 spans/s
BenchmarkBackendBlockQueryRange/{}_|_avg_over_time(duration)_by_(span.http.status_code)/5                             	       2	 530777281 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1174165 spans/s
BenchmarkBackendBlockQueryRange/{}_|_avg_over_time(duration)_by_(span.http.status_code)/5                             	       2	 515759912 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1208353 spans/s
BenchmarkBackendBlockQueryRange/{}_|_avg_over_time(duration)_by_(span.http.status_code)/5                             	       2	 527383186 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1181722 spans/s
BenchmarkBackendBlockQueryRange/{}_|_avg_over_time(duration)_by_(span.http.status_code)/5                             	       2	 538821724 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1156635 spans/s
BenchmarkBackendBlockQueryRange/{}_|_max_over_time(duration)_by_(span.http.status_code)/5                             	       2	 518559253 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1201830 spans/s
BenchmarkBackendBlockQueryRange/{}_|_max_over_time(duration)_by_(span.http.status_code)/5                             	       2	 548370855 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1136494 spans/s
BenchmarkBackendBlockQueryRange/{}_|_max_over_time(duration)_by_(span.http.status_code)/5                             	       2	 517936552 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1203275 spans/s
BenchmarkBackendBlockQueryRange/{}_|_max_over_time(duration)_by_(span.http.status_code)/5                             	       2	 606033624 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1028359 spans/s
BenchmarkBackendBlockQueryRange/{}_|_max_over_time(duration)_by_(span.http.status_code)/5                             	       2	 529591335 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1176795 spans/s
BenchmarkBackendBlockQueryRange/{}_|_max_over_time(duration)_by_(span.http.status_code)/5                             	       2	 526501712 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1183700 spans/s
BenchmarkBackendBlockQueryRange/{}_|_max_over_time(duration)_by_(span.http.status_code)/5                             	       2	 524990448 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1187108 spans/s
BenchmarkBackendBlockQueryRange/{}_|_max_over_time(duration)_by_(span.http.status_code)/5                             	       2	 521660030 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1194687 spans/s
BenchmarkBackendBlockQueryRange/{}_|_max_over_time(duration)_by_(span.http.status_code)/5                             	       2	 523078220 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1191448 spans/s
BenchmarkBackendBlockQueryRange/{}_|_max_over_time(duration)_by_(span.http.status_code)/5                             	       2	 523716809 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1189995 spans/s
BenchmarkBackendBlockQueryRange/{}_|_min_over_time(duration)_by_(span.http.status_code)/5                             	       2	 513883863 ns/op	         6.913 MB_IO/op	    623220 spans/op	   1212765 spans/s
